license_id,location_key
2110710-DCA,225 BROADWAY APT 3 NEW YORK NY 10007 (Manhattan)
2122385-DCWP,2565 COLDEN AVE APT 3D BRONX NY 10469 (Bronx)
2109297-DCA,1122 NEW YORK AVE APT 3A BROOKLYN NY 11203 (Brooklyn)
2109426-DCA,22746 109TH AVE QUEENS VILLAGE NY 11429 (Queens)
1274505-DCA,15003 25TH DR FLUSHING NY 11354 (Queens)
0957080-DCA,72 GOFF AVE STATEN ISLAND NY 10309 (Staten Island)
2052647-DCA,3250 BEDFORD AVE BROOKLYN NY 11210 (Brooklyn)
2129396-DCWP,32 PATCHEN AVE APT 3 BROOKLYN NY 11221 (Brooklyn)
2005938-DCA,104 RIVINGTON STREET NEW YORK NY 10002 (Manhattan)
1385416-DCA,5510 68 STREET APT 2ND MASPETH NY 11378 (Queens)
2036203-DCA,4812 13 AVENUE BROOKLYN NY 11219 (Brooklyn)
2002148-DCA,1947 RICHMOND TERRACE STATEN ISLAND NY 10302 (Staten Island)
1423017-DCA,198 MANHATTAN ST STATEN ISLAND NY 10307 (Staten Island)
1474034-DCA,21902 HORACE HARDING EXPY BAYSIDE NY 11364 (Queens)
0970044-DCA,12705 LIBERTY AVE S RICHMOND HL NY 11419 (Queens)
2129731-DCWP,106 BOWERY NEW YORK NY 10013 (Manhattan)
2079101-DCA,3011 152ND ST FLUSHING NY 11354 (Queens)
2123940-DCWP,669 SAGAMORE ST BRONX NY 10462 (Bronx)
2083292-DCA,89 EAST  116 STREET NEW YORK NY 10029 (Manhattan)
1186182-DCA,5001 NORTHERN BLVD LONG ISLAND CITY NY 11101 (Queens)
2029973-2-DCA,1620 NEPTUNE AVE BROOKLYN NY 11224 (Brooklyn)
2116986-DCWP,583 11TH ST APT 1 BROOKLYN NY 11215 (Brooklyn)
1460370-DCA,1130 ZEREGA AVE BRONX NY 10462 (Bronx)
2107381-DCA,5520 103 STREET CORONA NY 11368 (Queens)
2105212-DCA,3910 MAIN ST APT 303 FLUSHING NY 11354 (Queens)
1202312-DCA,16406 GRAND CENTRAL PKWY JAMAICA NY 11432 (Queens)
1234289-DCA,1017 AVENUE OF THE AMERICAS NEW YORK NY 10018 (Manhattan)
2084474-DCA,1472 FULTON STREET BROOKLYN NY 11216 (Brooklyn)
2004879-DCA,6205 5TH AVE BROOKLYN NY 11220 (Brooklyn)
0928356-DCA,55 W 39TH ST APT 1 NEW YORK NY 10018 (Manhattan)
2101843-DCA,120 WINANT PL STATEN ISLAND NY 10309 (Staten Island)
2121450-DCWP,5713 8TH AVE APT 1 BROOKLYN NY 11220 (Brooklyn)
2123845-DCWP,145 E 149TH ST BRONX NY 10451 (Bronx)
1381182-DCA,109 PARK AVE BROOKLYN NY 11205 (Brooklyn)
2092415-DCA,8856 MYRTLE AVE GLENDALE NY 11385 (Queens)
2096855-DCA,4616 AVENUE D BROOKLYN NY 11203 (Brooklyn)
2130775-DCWP,8699 BAY PKWY APT B1 BROOKLYN NY 11214 (Brooklyn)
2058194-DCA,505 DITMAS AVE BROOKLYN NY 11218 (Brooklyn)
2111144-DCA,10420 68TH DR APT A61 FOREST HILLS NY 11375 (Queens)
2117615-DCWP,14717 22ND AVE WHITESTONE NY 11357 (Queens)
