entity_id,registration_id,full_address,zip_code,Latitude,Longitude
BA-1196461-2022,0732618-DCA,258 MARYLAND AVE STATEN ISLAND NY 10305 (Staten Island),10305,40.61118,-74.069933
BA-1551110-2022,0733100-DCA,3201 BAINBRIDGE AVENUE BRONX NY 10467 (Bronx),10467,40.8759,-73.879595
BA-1546614-2022,0733187-DCA,13827 247TH ST ROSEDALE NY 11422 (Queens),11422,40.66517,-73.731365
BA-1565661-2022,0733831-DCA,133 MARTENSE ST BROOKLYN NY 11226 (Brooklyn),11226,40.65146,-73.954422
BA-1118634-2022,0734792-DCA,725 FLATBUSH AVE BROOKLYN NY 11226 (Brooklyn),11226,40.65529,-73.959779
BA-1546514-2022,0735409-DCA,7416 JAMAICA AVE WOODHAVEN NY 11421 (Queens),11421,40.69125,-73.86756
BA-1509055-2022,0735634-DCA,833 BROADWAY NEW YORK NY 10003 (Manhattan),10003,40.73379,-73.990997
BA-1559238-2022,0735702-DCA,526 W 134TH ST NEW YORK NY 10031 (Manhattan),10031,40.81888,-73.954282
BA-1472786-2022,0736060-DCA,9443 222ND ST QUEENS VLG NY 11428 (Queens),11428,40.72077,-73.732621
BA-1334064-2022,0736854-DCA,797 4TH AVE BROOKLYN NY 11232 (Brooklyn),11232,40.65892,-73.999611
BA-1598864-2023,0737068-DCA,21 W 47TH ST APT 1 NEW YORK NY 10036 (Manhattan),10036,40.75706,-73.979509
BA-1468814-2022,0737355-DCA,426 GREENWICH ST NEW YORK NY 10013 (Manhattan),10013,40.7223,-74.009748
BA-1378100-2022,0737621-DCA,156 CANAL ST APT 2 NEW YORK NY 10013 (Manhattan),10013,40.71638,-73.996523
BA-1118634-2022,0737634-DCA,725 FLATBUSH AVE BROOKLYN NY 11226 (Brooklyn),11226,40.65529,-73.959779
BA-1130739-2022,0738071-DCA,553 GRAND ST NEW YORK NY 10002 (Manhattan),10002,40.7141,-73.980398
BA-1212373-2022,0738793-DCA,450 EAST TREMONT AVENUE BRONX NY 10457 (Bronx),10457,40.84717,-73.898814
BA-1072151-2022,0739523-DCA,3333 RICHMOND TER STATEN ISLAND NY 10303 (Staten Island),10303,40.64075,-74.167721
BA-1202215-2022,0739955-DCA,44 ELMBANK STREET STATEN ISLAND NY 10312 (Staten Island),10312,40.53115,-74.160679
BA-1314328-2022,0760410-DCA,2730 166TH ST FLUSHING NY 11358 (Queens),11358,40.77151,-73.798699
BA-1566727-2022,0760927-DCA,2450 HOFFMAN STREET BRONX NY 10458 (Bronx),10458,40.85709,-73.887506
BA-1120883-2022,0760935-DCA,814 64TH ST BROOKLYN NY 11220 (Brooklyn),11220,40.6329,-74.011363
BA-1536632-2022,0761160-DCA,18 EAST 41 STREET APT 16 NEW YORK NY 10017 (Manhattan),10017,40.75242,-73.980448
BA-1546196-2022,0761946-DCA,4214 3RD AVE BROOKLYN NY 11232 (Brooklyn),11232,40.65203,-74.010084
BA-1226682-2022,0762272-DCA,6620 247TH ST LITTLE NECK NY 11362 (Queens),11362,40.75266,-73.72745
BA-1529925-2022,0762429-DCA,383 BRADFORD AVE STATEN ISLAND NY 10309 (Staten Island),10309,40.53029,-74.20555
BA-1230410-2022,0762717-DCA,154 E 61ST ST NEW YORK NY 10065 (Manhattan),10065,40.76329,-73.966829
BA-1124203-2022,0762769-DCA,1930 BATH AVE BROOKLYN NY 11214 (Brooklyn),11214,40.60214,-74.002867
BA-1110073-2022,0763138-DCA,3212 30TH AVE ASTORIA NY 11102 (Queens),11102,40.76643,-73.920402
BA-1234612-2022,0763490-DCA,454 5TH AVE BROOKLYN NY 11215 (Brooklyn),11215,40.66885,-73.986587
BA-1465261-2022,0764024-DCA,4251 BOSTON ROAD BRONX NY 10466 (Bronx),10466,40.8891,-73.821685
BA-1435721-2022,0764541-DCA,11307 14 ROAD COLLEGE POINT NY 11356 (Queens),11356,40.7846,-73.853934
BA-1420447-2022,0764562-DCA,1412 64TH ST BROOKLYN NY 11219 (Brooklyn),11219,40.62503,-73.998339
BA-1178698-2022,0764569-DCA,1512 63RD ST BROOKLYN NY 11219 (Brooklyn),11219,40.62418,-73.995396
BA-1211787-2022,0764920-DCA,1855 BAY RIDGE PARKWAY BROOKLYN NY 11204 (Brooklyn),11204,40.61275,-73.994896
BA-1423758-2022,0765341-DCA,434 E 91ST ST NEW YORK NY 10128 (Manhattan),10128,40.77981,-73.946438
BA-1423759-2022,0765342-DCA,9330 VAN WYCK EXPY RICHMOND HILL NY 11418 (Queens),11418,40.69764,-73.81422
BA-1441729-2022,0765359-DCA,1405 JEROME AVE BRONX NY 10452 (Bronx),10452,40.84061,-73.917953
BA-1338060-2022,0765431-DCA,1 ROCKEFELLER PLAZA NEW YORK NY 10020 (Manhattan),10020,40.75806,40.758063
BA-1314187-2022,0765444-DCA,10676 97TH ST OZONE PARK NY 11417 (Queens),11417,40.67994,-73.841847
BA-1509102-2022,0765506-DCA,239 15TH ST BROOKLYN NY 11215 (Brooklyn),11215,40.66508,-73.988282
